year,genre,count
1910,Action,1
1910,Adventure,12
1910,Animation,23
1910,Comedy,123
1910,Crime,6
1910,Documentary,81
1910,Drama,139
1910,Family,2
1910,Fantasy,26
1910,History,21
1910,Horror,27
1910,Music,3
1910,Mystery,2
1910,Romance,31
1910,Science Fiction,4
1910,Thriller,5
1910,War,8
1910,Western,79
1911,Action,5
1911,Adventure,15
1911,Animation,11
1911,Comedy,173
1911,Crime,16
1911,Documentary,76
1911,Drama,245
1911,Family,4
1911,Fantasy,18
1911,History,20
1911,Horror,25
1911,Music,3
1911,Mystery,5
1911,Romance,55
1911,Science Fiction,5
1911,Thriller,10
1911,War,13
1911,Western,91
1912,Action,7
1912,Adventure,22
1912,Animation,17
1912,Comedy,276
1912,Crime,26
1912,Documentary,82
1912,Drama,365
1912,Family,6
1912,Fantasy,17
1912,History,24
1912,Horror,25
1912,Mystery,6
1912,Romance,85
1912,Science Fiction,5
1912,Thriller,13
1912,War,6
1912,Western,140
1913,Action,12
1913,Adventure,20
1913,Animation,20
1913,Comedy,317
1913,Crime,41
1913,Documentary,84
1913,Drama,456
1913,Family,3
1913,Fantasy,20
1913,History,26
1913,Horror,21
1913,Music,4
1913,Mystery,7
1913,Romance,69
1913,Science Fiction,6
1913,Thriller,15
1913,War,19
1913,Western,126
1914,Action,11
1914,Adventure,40
1914,Animation,13
1914,Comedy,420
1914,Crime,45
1914,Documentary,58
1914,Drama,511
1914,Family,5
1914,Fantasy,11
1914,History,19
1914,Horror,34
1914,Music,1
1914,Mystery,18
1914,Romance,70
1914,Science Fiction,4
1914,Thriller,18
1914,War,30
1914,Western,140
1915,Action,21
1915,Adventure,33
1915,Animation,30
1915,Comedy,307
1915,Crime,50
1915,Documentary,52
1915,Drama,477
1915,Family,1
1915,Fantasy,10
1915,History,18
1915,Horror,29
1915,Music,1
1915,Mystery,17
1915,Romance,66
1915,Science Fiction,6
1915,Thriller,60
1915,War,39
1915,Western,134
1916,Action,24
1916,Adventure,36
1916,Animation,61
1916,Comedy,293
1916,Crime,50
1916,Documentary,40
1916,Drama,529
1916,Family,2
1916,Fantasy,14
1916,History,15
1916,Horror,34
1916,Mystery,19
1916,Romance,51
1916,Science Fiction,18
1916,Thriller,64
1916,War,28
1916,Western,88
1917,Action,15
1917,Adventure,37
1917,Animation,42
1917,Comedy,272
1917,Crime,47
1917,Documentary,41
1917,Drama,509
1917,Family,7
1917,Fantasy,20
1917,History,17
1917,Horror,21
1917,Music,1
1917,Mystery,30
1917,Romance,69
1917,Science Fiction,3
1917,Thriller,18
1917,War,38
1917,Western,80
1918,Action,16
1918,Adventure,31
1918,Animation,38
1918,Comedy,241
1918,Crime,27
1918,Documentary,42
1918,Drama,455
1918,Family,3
1918,Fantasy,12
1918,History,22
1918,Horror,16
1918,Mystery,18
1918,Romance,76
1918,Science Fiction,7
1918,Thriller,4
1918,War,68
1918,Western,63
1919,Action,26
1919,Adventure,45
1919,Animation,41
1919,Comedy,277
1919,Crime,44
1919,Documentary,40
1919,Drama,407
1919,Family,1
1919,Fantasy,11
1919,History,16
1919,Horror,29
1919,Music,1
1919,Mystery,25
1919,Romance,82
1919,Science Fiction,5
1919,Thriller,4
1919,War,17
1919,Western,111
1920,Action,27
1920,Adventure,51
1920,Animation,76
1920,Comedy,270
1920,Crime,48
1920,Documentary,67
1920,Drama,431
1920,Family,6
1920,Fantasy,14
1920,History,18
1920,Horror,34
1920,Mystery,22
1920,Romance,67
1920,Science Fiction,9
1920,Thriller,9
1920,War,5
1920,Western,99
1921,Action,28
1921,Adventure,56
1921,Animation,64
1921,Comedy,237
1921,Crime,57
1921,Documentary,39
1921,Drama,374
1921,Family,8
1921,Fantasy,28
1921,History,14
1921,Horror,30
1921,Music,2
1921,Mystery,49
1921,Romance,86
1921,Science Fiction,6
1921,Thriller,8
1921,War,4
1921,Western,101
1922,Action,25
1922,Adventure,50
1922,Animation,87
1922,Comedy,204
