year_bin,runtime_bin,count
1915,190,2
1915,100,1
1920,100,1
1925,150,1
1925,140,1
1930,120,1
1935,80,1
1935,230,1
1940,120,1
1945,170,1
1950,100,2
1955,220,1
1955,160,2
1955,210,1
1960,190,1
1960,180,1
1960,120,3
1960,100,7
1960,90,1
1960,130,1
1960,220,1
1960,110,3
1960,80,1
1960,140,1
1965,90,3
1965,120,2
1965,100,5
1965,110,4
1965,190,1
1965,170,1
1965,140,1
1965,150,2
1965,130,1
1970,130,2
1970,110,3
1970,100,4
1970,120,4
1970,90,4
1970,170,2
1970,200,1
1970,160,1
1975,110,4
1975,100,4
1975,120,2
1975,90,3
1975,130,2
1975,150,1
1975,140,1
1975,180,1
1980,90,40
1980,100,27
1980,80,11
1980,110,13
1980,120,6
1980,130,5
1980,160,2
1980,170,1
1980,190,1
1980,140,2
1980,180,1
1985,90,52
1985,100,32
1985,80,20
1985,110,19
1985,120,6
1985,130,6
1985,160,2
1985,150,1
1985,140,2
1990,90,217
1990,100,86
1990,80,66
1990,110,44
1990,120,24
1990,130,12
1990,180,1
1990,150,3
1990,140,6
1990,160,2
1990,190,1
1995,90,505
1995,80,228
1995,100,167
1995,110,84
1995,120,66
1995,130,21
1995,170,4
1995,160,7
1995,140,9
1995,150,4
1995,180,2
1995,190,1
2000,90,798
2000,80,517
2000,100,230
2000,110,117
2000,120,104
2000,130,41
2000,150,12
2000,140,16
2000,160,3
2000,170,1
2000,180,1
2000,200,1
2005,90,1071
2005,80,651
2005,100,351
2005,110,189
2005,120,165
2005,130,73
2005,140,26
2005,150,14
2005,160,5
2005,180,2
2005,170,2
2010,90,1292
2010,80,765
2010,100,477
2010,110,245
2010,120,230
2010,130,97
2010,140,49
2010,160,11
2010,150,21
2010,180,1
2010,170,7
2015,90,1762
2015,80,1010
2015,100,701
2015,110,381
2015,120,336
2015,130,134
2015,140,79
2015,150,27
2015,160,10
2015,180,4
2015,170,4
2015,200,1
2015,220,1
2020,90,2186
2020,80,1258
2020,100,821
2020,110,432
2020,120,344
2020,130,138
2020,140,83
2020,150,29
2020,160,20
2020,170,8
2020,180,5
2020,200,2
2020,240,1
