studio,genre,count
20th Century Fox,Action,248
20th Century Fox,Adventure,252
20th Century Fox,Animation,53
20th Century Fox,Comedy,631
20th Century Fox,Crime,228
20th Century Fox,Documentary,44
20th Century Fox,Drama,701
20th Century Fox,Family,122
20th Century Fox,Fantasy,87
20th Century Fox,History,62
20th Century Fox,Horror,80
20th Century Fox,Music,142
20th Century Fox,Mystery,141
20th Century Fox,Romance,353
20th Century Fox,Science Fiction,142
20th Century Fox,TV Movie,11
20th Century Fox,Thriller,249
20th Century Fox,War,113
20th Century Fox,Western,116
ARD,Action,20
ARD,Adventure,30
ARD,Animation,1
ARD,Comedy,649
ARD,Crime,101
ARD,Documentary,97
ARD,Drama,756
ARD,Family,124
ARD,Fantasy,9
ARD,History,47
ARD,Horror,2
ARD,Music,40
ARD,Mystery,17
ARD,Romance,241
ARD,Science Fiction,11
ARD,TV Movie,585
ARD,Thriller,71
ARD,War,10
ARTE,Action,5
ARTE,Adventure,13
ARTE,Animation,99
ARTE,Comedy,142
ARTE,Crime,59
ARTE,Documentary,1942
ARTE,Drama,521
ARTE,Family,17
ARTE,Fantasy,21
ARTE,History,368
ARTE,Horror,9
ARTE,Music,265
ARTE,Mystery,33
ARTE,Romance,62
ARTE,Science Fiction,13
ARTE,TV Movie,497
ARTE,Thriller,55
ARTE,War,48
ARTE,Western,2
BBC,Action,69
BBC,Adventure,193
BBC,Animation,60
BBC,Comedy,452
BBC,Crime,154
BBC,Documentary,1650
BBC,Drama,1192
BBC,Family,68
BBC,Fantasy,53
BBC,History,221
BBC,Horror,74
BBC,Music,364
BBC,Mystery,105
BBC,Romance,94
BBC,Science Fiction,227
BBC,TV Movie,929
BBC,Thriller,84
BBC,War,67
BBC,Western,1
Canal+,Action,86
Canal+,Adventure,97
Canal+,Animation,50
Canal+,Comedy,505
Canal+,Crime,151
Canal+,Documentary,219
Canal+,Drama,721
Canal+,Family,65
Canal+,Fantasy,51
Canal+,History,63
Canal+,Horror,51
Canal+,Music,35
Canal+,Mystery,59
Canal+,Romance,184
Canal+,Science Fiction,26
Canal+,TV Movie,48
Canal+,Thriller,195
Canal+,War,47
Canal+,Western,11
Columbia Pictures,Action,371
Columbia Pictures,Adventure,321
Columbia Pictures,Animation,163
Columbia Pictures,Comedy,1164
Columbia Pictures,Crime,400
Columbia Pictures,Documentary,41
Columbia Pictures,Drama,925
Columbia Pictures,Family,108
Columbia Pictures,Fantasy,99
Columbia Pictures,History,45
Columbia Pictures,Horror,86
Columbia Pictures,Music,160
Columbia Pictures,Mystery,183
Columbia Pictures,Romance,417
Columbia Pictures,Science Fiction,116
Columbia Pictures,TV Movie,4
Columbia Pictures,Thriller,238
Columbia Pictures,War,104
Columbia Pictures,Western,392
France Télévisions,Action,3
France Télévisions,Adventure,11
France Télévisions,Animation,18
France Télévisions,Comedy,129
France Télévisions,Crime,103
France Télévisions,Documentary,725
France Télévisions,Drama,239
France Télévisions,Family,23
France Télévisions,Fantasy,12
France Télévisions,History,164
France Télévisions,Horror,1
France Télévisions,Music,91
France Télévisions,Mystery,52
France Télévisions,Romance,32
France Télévisions,Science Fiction,2
France Télévisions,TV Movie,275
France Télévisions,Thriller,32
France Télévisions,War,53
Metro-Goldwyn-Mayer,Action,188
Metro-Goldwyn-Mayer,Adventure,214
Metro-Goldwyn-Mayer,Animation,170
Metro-Goldwyn-Mayer,Comedy,994
Metro-Goldwyn-Mayer,Crime,318
Metro-Goldwyn-Mayer,Documentary,348
Metro-Goldwyn-Mayer,Drama,1114
Metro-Goldwyn-Mayer,Family,145
Metro-Goldwyn-Mayer,Fantasy,70
Metro-Goldwyn-Mayer,History,136
Metro-Goldwyn-Mayer,Horror,85
Metro-Goldwyn-Mayer,Music,277
Metro-Goldwyn-Mayer,Mystery,137
