Year,Average Rotten Tomatoes Rating
1920,70.0
1921,80.0
1922,61.0
1923,73.0
1924,80.0
1925,83.0
1926,82.0
1927,86.0
1928,68.5
1929,66.0
1930,71.0
1931,77.4
1932,77.5
1933,76.5
1934,77.2
1935,77.25
1936,79.5
1937,80.5
1938,81.4
1939,81.6
1940,82.8
1941,83.83333333333333
1942,79.5
1943,76.0
1944,79.25
1945,77.5
1946,80.0
1947,77.66666666666667
1948,72.75
1949,69.2
1950,73.5
1951,75.25
1952,70.6
1953,69.5
1954,72.28571428571429
1955,73.33333333333333
1956,76.57142857142857
1957,75.0
1958,66.14285714285714
1959,71.66666666666667
1960,76.28571428571429
1961,74.5
1962,75.8
1963,71.6
1964,74.5
1965,72.6
1966,69.85714285714286
1967,73.4
1968,74.0
1969,67.6
1970,72.25
1971,73.5
1972,70.83333333333333
1973,69.11111111111111
1974,68.45454545454545
1975,70.36363636363636
1976,66.25
1977,65.92307692307692
1978,63.15384615384615
1979,61.0
1980,59.35294117647059
1981,59.333333333333336
1982,59.26315789473684
1983,57.111111111111114
1984,62.03846153846154
1985,61.88461538461539
1986,60.5
1987,60.20689655172414
1988,59.6
1989,59.88235294117647
1990,61.76470588235294
1991,62.11538461538461
1992,62.06666666666667
1993,65.48387096774194
1994,62.5
1995,62.37837837837838
1996,60.77777777777778
1997,61.897435897435895
1998,62.59574468085106
1999,61.833333333333336
2000,59.54347826086957
2001,60.67391304347826
2002,60.5
2003,61.53846153846154
2004,63.6923076923077
2005,60.67272727272727
2006,62.775862068965516
2007,63.109375
2008,61.98412698412698
2009,61.01470588235294
2010,61.0
2011,60.21621621621622
2012,61.5
2013,63.34246575342466
2014,60.916666666666664
2015,60.91139240506329
2016,62.434782608695656
2017,62.91025641025641
2018,63.22093023255814
2019,63.26470588235294
2020,62.476190476190474
2021,53.0
